,0
110,"The Tancredo Neves Pantheon of the Fatherland and Freedom (Portuguese: Panteão da Pátria e da Liberdade Tancredo Neves) is a cenotaph in the Brazilian capital Brasília, dedicated to the honour of national heroes. It was conceived during the national shock following the death in 1985 of Tancredo Neves, the first elected civilian president after twenty years of military rule.
Unlike other national pantheons it is not a mausoleum and does not contain any tombs.
It is located in the Praça dos Três Poderes in Brasilia. It was designed by Oscar Niemeyer as a modernist building symbolizing a dove. It has three floors with a total area of 2,105 m2 (22,660 sq ft). The foundation stone was laid by French President François Mitterrand on 15 October 1985.
The exhibition area, entirely dedicated to Tancredo Neves, was reopened in 2013. It includes copies of documents, films by Silvio Tendler and interactive technologies.
The names of those honoured can be found in the Livro de Aço ('Book of Steel'), also called the Livro dos Heróis da Pátria ('Book of National Heroes'). This is housed on the third floor between the Painel da inconfidência, a sculpture in honour of the martyrs of eighteenth-century uprising in Minas Gerais and the stained glass by Marianne Peretti. Each time a new name and biography is entered into its metal pages a ceremony in memory of the honouree is celebrated."
111,"Marquise Clara Hammond Lanza (February 12, 1858 – c. July 15, 1939) was an American novelist whose realist fiction often centered on troubled marriages. Several were praised for exhibiting realism and originality. She published her first work in 1884."
112,"Ammonitoceras is an extinct genus of cephalopod belonging to the ammonite subclass that lived during the latter part of the Early Cretaceous in what is now Europe and the transcaspian region. Ammonitoceras was named by Dumas, 1876, the type-species: Ammonitoceras ucetiae.
Although the description doesn't mention a hook, as in Ancyloceras or Acrioceras, Ammonitoceras is included in the Ancyloceratidae.  However neither do Australiceras or Tropaeum, which are also included."
113,"William Leslie (16 March 1814 – 4 March 1880), was a Scottish Conservative Party politician.
Leslie was elected Conservative MP for Aberdeenshire at a by-election in 1861—caused by the succession of George Hamilton-Gordon to 5th Earl of Aberdeen—and held the seat until 1866 when he resigned."
114,"Earl of Clonmell, in the County of Tipperary, was a title in the Peerage of Ireland. It was created in 1793 for John Scott, 1st Viscount Clonmell, Lord Chief Justice of the King's Bench for Ireland. He had already been created Baron Earlsfort, of Lisson-Earl in the County of Tipperary, in 1784, and Viscount Clonmell in 1789. These titles were also in the Peerage of Ireland. He was succeeded by his son, the second Earl. He sat as Member of Parliament for New Romney. His grandson, the fourth Earl, was elected an Irish Representative Peer in 1874. The latter never married and was succeeded by his younger brother, the fifth Earl. He was a lieutenant-colonel in the Rifle Brigade and fought in the Ashanti War. He was childless and was succeeded by his first cousin, the sixth Earl. He was the eldest son of Colonel the Hon. Charles Grantham Scott, second son of the second Earl. On his death the titles passed to his son, the seventh Earl. He died without male issue and was succeeded by his seventy-five-year-old uncle, the eighth Earl. The latter was childless and on his death in 1935 the titles became extinct. Family homes included Bishopscourt (aka Bishop's Court) in County Kildare, Ireland (1838–1914) and Eathorpe Hall in Warwickshire, England (pre-1877 to post-1909)."
115,"EVS Broadcast Equipment SA is a Belgian company that manufactures live outside broadcast digital video production systems. Their XT-VIA production video servers enable the creation, editing, exchange and playout of audio and video feeds."
116,"Plesiopharos (derived from the Greek words πλησίος (plesios), ""close"" and φάρος (pharos), ""lighthouse"", because its holotype was found in the vicinity of a lighthouse + [from São Pedro de] Moel) is an extinct plesiosaur that lived in what is now Portugal, in the Early Jurassic. Specifically, it was discovered in São Pedro de Moel, Marinha Grande, from which the type species' binomial name, Plesiopharos moelensis, derives from.
At the time of its publication (2021), this plesiosaur was the most complete and oldest known from the Iberian Peninsula."
117,"A ball bearing is a type of rolling-element bearing that uses balls to maintain the separation between the bearing races.
The purpose of a ball bearing is to reduce rotational friction and support radial and axial loads. It achieves this by using at least two races to contain the balls and transmit the loads through the balls. In most applications, one race is stationary and the other is attached to the rotating assembly (e.g., a hub or shaft). As one of the bearing races rotates it causes the balls to rotate as well. Because the balls are rolling they have a much lower coefficient of friction than if two flat surfaces were sliding against each other.
Ball bearings tend to have lower load capacity for their size than other kinds of rolling-element bearings due to the smaller contact area between the balls and races. However, they can tolerate some misalignment of the inner and outer races.

"
118,"Abia State has a multi-party political system. The politics of Abia State is governed within the framework of a presidential republic with the Governor of Abia State serving jointly as the head-of-state and head of government. The Governor exercises the executive power vested on him or her directly, although the constitution also authorizes the Deputy Governor and Commissioners to carry out such exercises. Legislative power rests on the shoulders of a 24-member unicameral House of Assembly while the judicial power is exercised directly by the Judiciary of Abia State. Power in Abia State is divided into three branches: executive, legislative and judiciary, similarly to the United States."
119,"Tallabogue is a stream in the U.S. state of Mississippi. It is a tributary to Tuscolameta Creek.Tallabogue is a name derived from the Choctaw language purported to mean ""palmetto creek"". Variant names are ""Taalah Creek"" and ""Tallabogue Creek""."
120,"Limnobium laevigatum is a floating aquatic plant, and is a member of the family Hydrocharitaceae. Common names include West Indian spongeplant, South American spongeplant and Amazon or smooth frogbit. This plant was introduced to North American waterways through use in aquariums and aquascapes.

"
121,"Abrazo Arrowhead Campus is an acute care hospital located in Glendale, Arizona, United States.
Named after founder Cornelius Alphonse Abrazo, of which little is known, the hospital opened in 1988.  In 1999, Phoenix Baptist and Arrowhead Hospitals were acquired by Vanguard Health Systems. In 2003, Vanguard established Abrazo Health Care as its Arizona subsidiary. Abrazo is the second largest health care delivery system in Arizona, United States. Abrazo Health Care is located in Phoenix, Arizona. In 2013, Vanguard was acquired by Tenet Healthcare.

"
122,"Mimetes palustris or cryptic pagoda is an evergreen shrub, assigned to the family Proteaceae. It has horizontal sprawling shoots as well as upright, unbranched shoots usually about ½ m (1½ in) high. The leaves are entire and stand out on the lower parts of the shoots, but are overlapping and pressed tightly against each other near the inflorescence, almost like a snakeskin. The inflorescence consists of several flowerheads, each containing three clear yellow flowers that are longer than the subtending leaves. It is the smallest species of Mimetes and is an endemic species that grows on well-drained, but permanently moist sandy and peaty slopes in the mountains near Hermanus, Western Cape province of South Africa. It is considered critically endangered. Flowering occurs all year round, but peaks in August and September."
123,"Bridget Meehan Brennan (née Bridget Maeve Meehan, born 1974) is an American lawyer from Ohio who serves as a United States district judge of the United States District Court for the Northern District of Ohio. She served as acting United States Attorney for the Northern District of Ohio from 2021 to 2022."
124,"NBA Courtside 2 Featuring Kobe Bryant is a basketball video game developed by Left Field Productions and published by Nintendo for the Nintendo 64. The game was released in North America exclusively in 1999. It is the sequel to Kobe Bryant in NBA Courtside and features NBA star Kobe Bryant on its cover. Bryant also performed the motion capture for the game.A Game Boy Color version of the game was released at the same time, entitled NBA 3 on 3 Featuring Kobe Bryant.
The third and final edition in the Courtside series, NBA Courtside 2002 was released for the GameCube in 2002.

"
125,"Hornostaipil (Ukrainian: Горностайпіль, Russian: Горностайполь, Yiddish: הארנאסטייפל‎ Horensteipl, Hornosteipel) is a Ukrainian village in northern Ukraine, which is part of Vyshhorod Raion within Kyiv Oblast. It belongs to Ivankiv settlement hromada, one of the hromadas of Ukraine."
126,"The 1959–60 Auburn Tigers men's basketball team represented Auburn University in the 1959–60 college basketball season. The team's head coach was Joel Eaves, who was in his eleventh season at Auburn. The team played their home games at Auburn Sports Arena in Auburn, Alabama. They finished the season 19–3, 12–2 in SEC play to win the SEC regular season championship."
127,"Anastasia and Tatiana Dogaru (born 13 January 2004) are craniopagus conjoined twins. They were scheduled to begin the first of several surgeries to separate them at Rainbow Babies and Children's Medical Center in Cleveland, Ohio. However, in August 2007 the surgery was called off as too dangerous.The twins were born in Rome, Italy to Romanian parents, Alin Dogaru, a Byzantine Catholic priest, and Claudia Dogaru, a nurse. Their mother heard about the successful separation of Egyptian-born twins who were also joined at the head and hoped her children could also be successfully separated. The Dogaru family — who also have an older daughter, Maria, and younger son Theodor — were brought to north Texas by the World Craniofacial Foundation to have Anastasia and Tatiana evaluated for possible separation.
The girls are currently developing normally for their age and speak both Romanian and English. They get around with Anastasia leading the way and Tatiana following. The top of Tatiana's head is attached to the back of Anastasia's. Anastasia, whose kidneys don't function, relies on her sister's kidneys, and Tatiana on her sister's circulatory system. The girls also share blood flow to the back of the brain and some brain matter. Doctors estimated the twins had only a 50 percent chance of surviving the surgery. There were also risks of complications, such as brain damage, but the girls also risk early death if they remain conjoined. Their parents believed separation would give them their best chance at living a normal life.In May 2007, doctors used a catheter to insert wire coils into the veins of the two girls, successfully redirecting their blood flow. It was the first time the procedure was attempted in conjoined twins. Doctors pushed back the first of the planned separation surgeries to June 2007 while studying the complex circulatory system of the twins, but, in August of that year, decided it was too risky."
128,"Karma (; Sanskrit: कर्म, IPA: [ˈkɐɾmɐ] (listen); Pali: kamma) in Sanskrit means an action, work, or deed, and its effect or consequences. In Indian religions, the term more specifically refers to a principle of cause and effect, often descriptively called the principle of karma, wherein intent and actions of an individual (cause) influence the future of that individual (effect): Good intent and good deeds contribute to good karma and happier rebirths, while bad intent and bad deeds contribute to bad karma and bad rebirths.The concept of karma is closely associated with the idea of rebirth in many schools of Indian religions (particularly Hinduism, Buddhism, Jainism and Sikhism), as well as Taoism. In these schools, karma in the present affects one's future in the current life, as well as the nature and quality of future lives—one's saṃsāra. This concept has also been adopted in Western popular culture, in which the events which happen after a person's actions may be considered natural consequences."
129,"Edward Hawke Locker (9 October 1777, in East Malling, Kent – 16 October 1849, in Iver, Buckinghamshire) was an English watercolourist (producing works now in the V&A and British Museum) and administrator of the Royal Naval Hospital, Greenwich."
130,"Aleksandar Sarievski (Macedonian: Александар Сариевски [alɛkˈsandar saˈri.ɛfski] (listen); June 20, 1922 – December 19, 2002) was a Macedonian singer-songwriter whose career spanned almost six decades. He was one of the most recognizable figures in Macedonian music.
Sarievski was a co-founder of the folklore musical ensemble Tanec and frequently traveled with the group as an ambassador of Macedonian music and culture. His renditions of local folk songs are particularly well known and, in many cases, the first known recorded versions. These include ""Jovano, Jovanke"", ""More Sokol Pie"", and ""Uči me majko, karaj me"", among others. He also composed the popular folk-style song ""Zajdi Zajdi"".
Aleksandar Sarievski died in 2002 aged 80. The then-President of the Republic of Macedonia Boris Trajkovski and Prime Minister Branko Crvenkovski as well as the Ministry of Culture sent the Sarievski family messages of condolence following the news of his death."
131,"Camberley  is a town in the Borough of Surrey Heath in Surrey, England,  approximately 31 miles (50 km) south-west of Central London. The town is in the far west of the county, close to the borders of Hampshire and Berkshire. Once part of Windsor Forest, Camberley grew up around the Royal Military Academy Sandhurst and the associated Army Staff College. Known originally as ""Cambridge Town"", it was assigned its current name by the General Post Office in 1877.
Camberley's suburbs include Crawley Hill, York Town, Diamond Ridge, Heatherside and Old Dean.
The town is immediately north of the M3 motorway, which may be accessed via junction 4. Camberley railway station is on the line between Ascot and Aldershot; train services are run by South Western Railway."
132,"John Frederick Dashiell (April 30, 1888 – May 3, 1975) was an American psychologist and a past president of the American Psychological Association.

"
133,"The 1926 Chicago Cardinals season was their seventh in the National Football League. The team failed to improve on their previous output of 11–2–1, winning only five games. They finished tenth in the league."
134,Kwame Gershion Quansah (born 24 November 1982) is a Ghanaian former professional footballer who played as a defensive midfielder.
135,"Mud Creek is a stream in Gasconade and Osage counties of central Missouri. It is a tributary of the Gasconade River.
The stream headwaters are located in Osage County at 38°32′32″N 91°39′54″W and the confluence with the Gasconade in Gasconade County is at 38°32′03″N 91°37′19″W. The stream source lies north of Hope and it flows to the southeast to enter the flood plain and then turns north for about one mile before entering the main channel of the Gasconade.Mud Creek was named for the muddy character of its water."
136,Paraleucogobio notacanthus is a species of cyprinid fish endemic to China.  It is the only member of the genus Paraleucogobio.
137,"Maqdis Shalim Alfarizi (born April 8, 1989 in Cirebon) is an Indonesian footballer who currently plays for Pelita Jaya FC in the Indonesia Super League."
138,"Joseph Henry Tayler (February 7, 1859 – May 25, 1959) was an American banker and Republican politician from the U.S. state of Wisconsin.  He was the 29th mayor of Green Bay, Wisconsin, and the 9th mayor of Fort Howard, Wisconsin.  In 1932, he was one of several bank officers criminally charged for embezzlement and participating in a fraud to conceal the financial condition of the McCartney National Bank of Green Bay—he ultimately served four years in federal prison.  His name was frequently abbreviated as J. H. Tayler, and his last name is often misspelled Taylor."
139,"Juacas is a Brazilian television series created by Carina Schulze and produced by Chatrone and Cinefilm and broadcast by Disney Channel Brazil since July 3, 2017. It is the second original national series produced by Disney Channel in Brazil, after Que Talento!. The story combines comedy, action and romance. The series premiered on July 3, 2017 in Latin America and Italy, through closed channels on Disney Channel and Disney XD. The series was shown from October 21, 2017 to January 14, 2018, in the children's programming block Mundo Disney, on SBT. In Portugal, it debuted on May 14, 2018 through the closed channel SIC K. Shortly after the end of the series, it was made available on the service of Claro and Net, Now. On August 4, 2018, the series was made available on the Netflix streaming service.

"
140,The 1993–94 Czech Extraliga season was the first season of the Czech Extraliga since its creation after the breakup of Czechoslovakia and the Czechoslovak First Ice Hockey League in 1993.
141,"Mard-e Khaneh (Persian: مردخانه, also Romanized as Mard-e Khāneh; also known as Mard) is a village in Dasht-e Zarrin Rural District, in the Central District of Kuhrang County, Chaharmahal and Bakhtiari Province, Iran. At the 2006 census, its population was 127, in 22 families. The village is populated by Lurs."
142,"The Anarchist Federation of Gran Canaria (Spanish: Federación Anarquista de Gran Canaria, FAGC) is an anarchist organization on the island of Gran Canaria, founded in 2011. It is focused on defending the right to decent housing."
143,"Joven Alba (born 24 August 1969) is a Filipino professional pool and snooker player. Alba was a professional pool player between 2009 and 2013, and having played snooker beforehand. Alba's biggest accomplishment was winning the team snooker event at the 2005 Southeast Asian Games. Alongside partners Leonardo Andam and Alex Pagulayan the Filipino team defeated Thailand team of Nitiwat Kanjanjanasri, Phaithoon Phonbun and Supoj Saenla in the final.In pool, Alba reached the quarter-finals of both the 2010 and 2011 WPA World Eight-ball Championships, losing to Darren Appleton on both occasions.

"
144,"Change of Fortune is the eleventh studio album by Soul Asylum. It is the follow-up to their 2012 album Delayed Reaction. It was released on March 18, 2016. It is their first album released on Entertainment One."
145,"Forsyth Island lies in the outer Marlborough Sounds of New Zealand's South Island and is separated from the mainland by the 300m wide Allen Strait (also known as Guards Pass). The island comprises a mixture of farm land and native bush on hills rising to over 350 metres (1,148 ft) with views into the Marlborough Sounds and east towards the North Island.
As of 2012, it is one of the largest entirely privately owned islands in the South Pacific, and offers exclusive accommodation, accessible via helicopter and boat.
Forsyth Island is connected to electricity and phone via a cable across Allen Strait and is serviced weekly by a mail boat from Havelock."
146,"Hastagnostus is an extinct genus from a well-known class of fossil marine arthropods, the trilobites. It lived during the Cambrian Period, which lasted from approximately 539 to 485 million years ago."
147,"Sorina Ștefârță (born 10 December 1973) is a journalist from the Republic of Moldova. She is the editor-in-chief of Timpul de dimineață, a major Moldavian newspaper."
148,"Rosa Zagnoni Marinoni (January 5, 1888 – March 26, 1970) was an Italian-American poet. Marinoni had more than 1,000 of her short stories published in 70 magazines and her poems were published in more than 900 U.S. and international publications. Arkansas governor Benjamin Travis Laney named October 15, 1948, the state's first annual Poetry Day due to her efforts. Her home was added to the National Register of Historic Places in 1990."
149,"Toccata (film)  is a 1969 Dutch film directed by Herman van der Horst.

"
150,"Besbes (Arabic: بسباس) is a city in Algeria.
It was founded by the French in the early 19th century 1868 as a colonial district ""Commune"". It was given the name of Randon after the French Army general Jacques Louis Randon, but the local population used to call the area ""Besbes"" which was given to the city as a formal name after Algeria's independence in 1962.
Besbes is located in the west of El Tarf Province, 24 km to the south of Annaba. The city is surrounded by agricultural land (Annaba plain). During the French rule, the new village was inhabited by rich Pied-Noir families who own most of the surrounding farms.
Well before the arrival of the French, there were four big families including the Nacer, Dorbani, Doukani and Djemil families. These families are recognised as the bed rock of what besbes is today.
Nowadays, Besbes is a city of more than 60,000 inhabitants.
Film maker Karim Traidia is from Besbes."
151,"Topping Cone (77°29′S 169°16′E) is an exposed volcanic cone near Cape Crozier, located 1.75 nautical miles (3.2 km) northwest of the summit of The Knoll in eastern Ross Island. Named by New Zealand Antarctic Place-Names Committee (NZ-APC) for W.W. Topping, geologist with Victoria University of Wellington Antarctic Expedition (VUWAE) which examined the cone in the 1969–70 season.
 This article incorporates public domain material from ""Topping Cone"". Geographic Names Information System. United States Geological Survey."
152,Haris Epaminonda (born 1980 in Nicosia) is a Cypriot photographer and visual artist who lives and works in Berlin.
153,"Gößnitzkopf is a mountain in the Schober Group of the Hohe Tauern range. It is located in Austria, along the border of East Tyrol and Carinthia. The elevation at its peak is 3,096 metres (10,157 ft).
The nearest municipalities are Nußdorf-Debant, Tyrol to the west and Heiligenblut, Carinthia to the east."
154,"Italians in the United Kingdom, also known as British Italians or colloquially Britalians, are citizens or residents of the United Kingdom of Italian heritage. The phrase may refer to someone born in the United Kingdom of Italian descent, someone who has emigrated from Italy to the United Kingdom or someone born elsewhere (e.g. the United States), who is of Italian descent and has migrated to the UK. More specific terms used to describe Italians in the United Kingdom include: Italian English, Italian Scots, and Italian Welsh."
155,"Non-dance is a choreographic movement within contemporary dance. It began in the 1990, principally in France. Its practitioners see it as a transdisciplinary movement, dispensing with the movement vocabulary of traditional dance to integrate or substitute that of other performing arts (theater, video, music, and plastic arts)."
156,"Clyde Boats was a small, privately owned, custom boat company located in Detroit, Michigan. For nearly fifty years it produced custom mahogany motorboats for clients in the Great Lakes area."
157,"Hansung University is a university in Seoul, South Korea. It was founded on December 21, 1972.  The Design Campus is located in Jongno-gu, Seoul."
158,"Sanand is a taluka of Ahmedabad District, India."
159,"Gornji Hasić (Serbian Cyrillic: Горњи Хасић) is a village in the municipality of Šamac, Bosnia and Herzegovina."
160,"The 1938 Chattanooga Moccasins football team was an American football team that represented the University of Chattanooga (now known as the University of Tennessee at Chattanooga) in the Dixie Conference during the 1938 college football season. In its eighth year under head coach Scrappy Moore, the team compiled a 4–5 record.

"
161,"The Omaka Aviation Heritage Centre is an aviation museum located at the Omaka Air Field, 5 km (3 mi) from the centre of Blenheim, New Zealand."
162,"The Order of Jehova (Swedish: Jehovaorden) was a Swedish dynastic order of knighthood instituted in 1606 by King Charles IX of Sweden. The collar of the order was worn by the king alone, as head, although a report indicate that three Swedish princes wore a collar at the coronation of King Charles IX on 15 March 1606.The kings motto was Jehovah ""Iehovah solatium meum"" (Swedish: Gud är min tröst)."
163,"The concert overture Carnival (Czech: Karneval, koncertní ouvertura), Op. 92, B. 169, was written by Antonín Dvořák in 1891. It is part of a ""Nature, Life and Love"" trilogy of overtures, forming the second part, ""Life"". The other two parts are In Nature's Realm, Op. 91 (""Nature"") and Othello, Op. 93 (""Love"").The overture, in A major, is scored for two flutes, piccolo, two oboes, English horn, two clarinets, two bassoons, four horns, two trumpets, three trombones, tuba, timpani, triangle, cymbals, tambourine, harp and strings. Its duration is between 9½ and 11½ minutes.

"
164,"Scott Peter Andrew Brown (born 26 April 1985) is an English footballer who is a player-goalkeeping coach for EFL League One club Exeter City.
He spent the early part of his career with Wolverhampton Wanderers, Welshpool Town and Bristol City, before making his debut in the English Football League with Cheltenham Town in January 2006. He established himself as the club's first-choice goalkeeper by the 2008–09 season and stayed with Cheltenham until May 2014, playing a total of 282 games for the club, including an appearance at Wembley Stadium in the 2012 League Two play-off Final, which ended in a 2–0 defeat to Crewe Alexandra. He was voted as Cheltenham Town's Player of the Year for the 2012–13 season. He signed with Aberdeen in May 2014 and helped the club to finish as runners-up in the Scottish Premiership in both the 2014–15 and 2015–16 campaigns. He joined Wycombe Wanderers in July 2016 but initially failed to win a first-team place and instead spent time on loan at Eastleigh and Cheltenham Town. He then was an ever-present as Wycombe won promotion out of EFL League Two at the end of the 2017–18 season. He signed with Port Vale in May 2018 and went on to win the club's Player of the Year award for the 2018–19 season. He spent three seasons at Port Vale without missing a league game and then joined Exeter City as a player-coach in June 2021."
165,"The Chambersburg, Greencastle & Waynesboro Street Railway, now defunct, was an American railroad of south central Pennsylvania built in the 19th and 20th centuries.

"
166,"Edmund Czaplicki (30 October 1904 – August 1940) was a Polish ice hockey player who competed in the 1928 Winter Olympics.
He was born in Warsaw. During World War II he was imprisoned by the Soviet NKVD in Starobielsk, and later executed in Kharkiv.In 1928 he participated with the Polish ice hockey team in the Olympic tournament."
167,"The coastwise slave trade existed along the eastern coastal areas of the United States in the antebellum years prior to 1861. Shiploads and boatloads of slaves in the domestic trade were transported from place to place on the waterways. Hundreds of vessels of various sizes and capacities were used to transport the slaves, generally from markets of the Upper South, where there was a surplus of slaves, to the Deep South, where the development of new cotton plantations created high demand for labor. 
International tensions developed when ships were forced by weather or incident into ports in Bermuda and the British West Indies, as the British freed the slaves as part of the banned trade on the high seas, even before its abolition of slavery in its territories in 1834. There were several cases: Comet (1830), Encomium (1833), Enterprise (1835), Hermosa (1840) and, most notably, the Creole case of 1841, the result of a ship slave revolt that forced the vessel into Nassau, Bahamas. British officials freed the 128 slaves who chose to stay in the Bahamas."
168,"Adrian Victorovich Prakhov (Russian: Адриан Викторович Прахов; 16 March 1846, Mstislavl, Russian Empire - 14 May 1916, Yalta, Russian Empire) was a Russian art critic, archaeologist and art historian."
169,"Christopher Dietzen (born March 8, 1947) was an associate justice of the Minnesota Supreme Court from 2008 to 2016 and a judge of the Minnesota Court of Appeals from 2004 to 2008."
170,"Sarmi Regency is one of the regencies (kabupaten) in Papua Province of Indonesia. It was formed from the western districts then within Jayapura Regency with effect from 12 November 2002. It covers an area of 18,034.0 km2, and had a population of 32,971 at the 2010 Census and 41,515 at the 2020 Census; the official estimate as at mid 2021 was 41,849. The regency's administrative centre is at the town of Sarmi.
Sarmi is named from an acronym of the five main tribes, which are Sobey, Armati, Rumbuai, Manirem, and Isirawa. The five tribes do not represent the overall tribal diversity in this regency which has 87 tribes, each with their own language."
171,"Charles Edward ""Ed"" Gaunch is a Republican former member of the West Virginia Senate, who represented the 8th district from January 14, 2015 until his defeat by Democrat Richard Lindsay in 2018. From 2019 to 2022 Gaunch served as the West Virginia Secretary of Commerce."
172,"Ridgeview is an unincorporated community in Boone County, West Virginia, United States. Ridgeview is 6 miles (9.7 km) northeast of Madison. Ridgeview has a post office with ZIP code 25169."
173,"Collection is an album by American pianist Dave Grusin released in 1989, recorded for the GRP label. Collection is a retrospective of Grusin's work from 1976–1989 . The album reached No. 3 on Billboard's Contemporary Jazz chart."
174,"Paraskevopoulos is an old lunar impact crater that is located on the far side of the Moon, in the higher northern latitudes. It lies just to the southwest of the younger and somewhat larger crater Carnot. To the southwest is the smaller crater Stoletov, and to the southeast lies Fowler. It is named after the astronomer John S. Paraskevopoulos.
This is a well-eroded crater formation, with a rounded and uneven rim edge. The satellite crater Paraskevopoulos H lies across the eastern rim, and the smaller Paraskevopoulos E is located in the northeastern part of the interior floor. The rim edge is better defined along the northern and southern edges, and is nearly worn away along the west. The surviving interior floor is relatively level and featureless, with only a pair of small craterlets along the northwestern and southeastern edges."
175,"Koo Kam (Thai: คู่กรรม) is a Thai novel written by Thommayanti. It was adapted into a 1996 film, Sunset at Chaopraya, and a 2013 remake that shared the same name."
176,"Giorgio Rautgartler or Giorgio Reitgherlet (died 10 December, 1600) was a Roman Catholic prelate who served as Bishop of Pedena (1573–1600)."
177,"TGM5 is a transglutaminase enzyme.
TGM5 encodes one member of the multigene transglutaminase family. Transglutaminases (TGs) are involved in protein cross-linking by catalyzing the formation of gamma-glutamyl-lysine isodipeptide bonds between adjacent polypeptides (Candi et al. 2005; Eckert et al. 2005). This process is particularly important in the terminal differentiation of the epidermis, where TGs heavily cross-link keratins and a range of differentiation-specific structural proteins, such as involucrin, loricrin, filaggrin, and small proline-rich proteins, in the formation of the cornified cell envelope in the biogenesis of the stratum corneum, the outermost, “dead” layer of the epidermis (Kalinin et al. 2002). This continuously shed outer layer of the epidermis performs the main barrier function of the skin. Recessive loss-of-function mutations in TGM1 have been shown to cause lamellar ichthyosis, a disease characterized by excessive scaling and shedding of the outer epidermis (Huber et al. 1995; Parmentier et al. 1995; Russell et al. 1995)."
178,"Ernest Malcolm Fewtrell (28 September 1909 – 28 November 2005) was a Detective Chief Superintendent in the Buckinghamshire Constabulary and head of Buckinghamshire CID. He led the initial investigation into the Great Train Robbery in 1963.

"
179,"Eugène Courret (1839 – 1920), known as Eugenio,  was a French photographer who was based in Lima, Peru."
180,"Lilliputocoris is a genus of dirt-colored seed bugs in the family Rhyparochromidae, the sole genus in the tribe Lilliputocorini. There are about 10 described species in Lilliputocoris."
181,"Philip Arnold Smith (April 22, 1952 – July 29, 2002) was an American professional basketball player who played for 9 seasons in the National Basketball Association (NBA)."
182,"Robert Lloyd Peden (born 11 November 1973) is an Australian former professional boxer who won the vacant IBF super featherweight title in 2005 by beating Nate Campbell by TKO. Peden was the third person of Aboriginal descent to win a world title, joining super middleweight Anthony Mundine (2003) and bantamweight Lionel Rose (1968).

"
183,"Mousefood, Melqurat, Maqaruaruat or Anlleq is a native foraged food and medicine highly prized by Yupik people on the Yukon-Kuskokwim Delta.

"
184,"Gleichenia microphylla is a small fern growing in Australia and New Zealand.
Some of the other common names include: scrambling coral fern, umbrella fern, parasol fern, carrier tangle, matua-rarauhe, matuku, tapuwae kotuku, waewae kaka, waewae kotuku and waewae matuku.
A common plant, often seen growing under waterfalls, in swamps, under cliffs and in tall open forest. It prefers high humidity and good levels of sunshine and moisture. It can form large colonies.
In 1810 it appeared in Prodromus Florae Novae Hollandiae, authored by Robert Brown."
185,"Friedrich Tietz (24 September 1803 – 6 July 1879) sometimes incorrectly called Friedrich von Tietz, was a German theatre director, publicist and writer."
186,"Mr. Funnybone is a 1976 Hong Kong comedy film directed by Kuei Chih-Hung based on the manhua, Old Master Q, by Alfonso Wong, who also co-wrote the script and serves as the film's co-producer, and starring Wang Sha as the titular protagonist. The film was followed by a sequel, Mr. Funnybone Strikes Again, released in 1978.

"
187,Tipulamima nigriceps is a moth of the family Sesiidae. It is known from Sierra Leone.
188,"Taegukgi: The Brotherhood of War (Korean: 태극기 휘날리며; Taegukgi Hwinallimyeo) is a 2004 South Korean wartime action drama film directed by Kang Je-gyu. It stars Jang Dong-gun and Won Bin and tells the story of two brothers who are forcibly drafted into the South Korean army at the outbreak of the Korean War.
Kang Je-gyu made a name for himself directing Shiri and was able to attract top talent and capital to his new project, eventually spending 12.8 million USD on production. The film became one of the biggest successes in the South Korean film history up to that time, attracting 11.74 million people to the theatre, beating the previous record holder Silmido."
189,"Tamamura Station (玉村駅, Tamamura-eki)  is a passenger railway station in the city of Jōsō, Ibaraki Prefecture, Japan operated by the private railway company Kantō Railway.

"
190,"The Avondale Historic District in Alexander City, Alabama, is a 750 acres (3.0 km2) historic district which was listed on the National Register of Historic Places in 2005.The district includes a textile mill building, formerly the Avondale Mills, which closed in 2006 and is now known as Parkdale Mills.
It includes a total of 428 contributing buildings and a contributing site, as well as 79 non-contributing buildings or structures, in an area roughly between Rose Ave. and Scott St., Hillabee St. and 7th St. in Alexander City.It includes two sections that were developed at the same time: the Avondale Mill Village which was built and operated by the Avondale Mill Company, and the adjacent Oak Lawn neighborhood, whose residents also worked for the mill.  The mill village includes a textile mile, workers' houses, a superintendent's house, and two churches.  The Oak Lawn neighborhood includes a row of commercial block buildings on 8th Avenue, a store on 6th Avenue, four brick or brick veneer commercial buildings on Hillabee St., a warehouse, two more churches, and many residences (mostly one-story wood houses, but some duplexes and one triplex).  The two areas are divided by Central of Georgia railroad tracks.Residences in the district include many Craftsman style bungalows, some Tudor Revival architecture, and other styles, as well as vernacular buildings.

"
191,"Thinkin' Things is a series of educational video games by the Edmark Corporation and released for Windows and Mac in the 1990s. Entries in the series include Thinkin' Things Collection 1 (Formerly Thinkin Things) (1993), Thinkin' Things Collection 2 (1994), Thinkin' Things Collection 3 (1995), the adventure game Thinkin' Things: Sky Island Mysteries (1998), Thinkin’ Things Galactic Brain Benders (1999), Thinkin' Things: All Around Frippletown (1999) and Thinkin' Things: Toony the Loon's Lagoon (1999)."
192,"Lions Group NYC (Lions Group) is a family-owned and managed real estate development firm in New York City. Lions Group focuses on acquisition, development, construction, and management of residential, commercial, and retail properties."
