,0
100,"Theodore Jerome ""Dutch"" Van Kirk (February 27, 1921 – July 28, 2014) was a  navigator in the United States Army Air Forces, best known as the navigator of the Enola Gay when it dropped the first atomic bomb on Hiroshima. Upon the death of fellow crewman Morris Jeppson on March 30, 2010, Van Kirk became the last surviving member of the Enola Gay crew."
101,"High Test Girls (German: Sechs Schwedinnen von der Tankstelle) is a 1980 Swiss pornographic film co-written and directed by Erwin C. Dietrich. It stars Brigitte Lahaie, Jane Baker, Lynn Monteil, France Lomay, Flore Sollier and Élodie Delage. The film is a sequel to Sechs Schwedinnen im Pensionat."
102,"Nite City (Also known as Ray Manzarek's Nite City) was an American rock band formed in Los Angeles, United States in 1977 by former Doors member Ray Manzarek. The band consisted of lead singer Noah James, bassist Nigel Harrison who later achieved greater success as a bassist for the rock band Blondie,  guitarist Paul Warren, drummer Jimmy Hunter and keyboardist Ray Manzarek. The group recorded and released two studio albums in 1977 and 1978 and one live album in 1977 on the 20th Century Record label. The band's music sold poorly and the group failed to acquire any sales or following. Soon after the release of their second studio album, Golden Days Diamond Nights, which was released only in West Germany, Nite City disbanded."
103,"The women's K-1 500 metres canoeing event at the 2015 Pan American Games will be held between the 11 and 13 of July at the Welland Pan Am Flatwater Centre in Welland.

"
104,"Paramparça (English title: Broken Pieces) is a Turkish television series produced by Endemol Shine Turkey, starring Erkan Petekkaya, Nurgül Yeșilçay and Ebru Özkan Saban. It premiered on Star TV on December 1, 2014."
105,"Saddle Mountain (Grand Canyon) is an 8,424-foot-elevation summit located in the eastern Grand Canyon, in Coconino County of northern Arizona, United States. It is the highest peak within Grand Canyon National Park and it forms a portion of the northeast border of the park. Point Imperial, the last viewpoint north, on the Walhalla Plateau, is ~2.0 southwest. Saddle Mountain contains the Saddle Mountain Wilderness, and the Saddle Mountain Wilderness Trail. The short Saddle Creek drains the mountain to the Colorado River (Marble Canyon region), northeast, and the large Nankoweap Creek drainage drains the entire length of the mountain, about 25 mi, to the south, then east."
106,"La Ruda is an alternative rock group from Saumur, France formed in 1993. The group was initially called La Ruda Salska, a name inspired by the Polish town: Ruda Śląska; but also by their musical tastes (rock, ska, salsa), and the type of music they produced. In 2003, after over 10 years of performing as La Ruda Salska, four albums, one of which was live, and nearly 500 concerts, they opted to shorten their name to ""La Ruda"". This also marked a change in their musical style as they now sound more like a rock band with a brass section.

"
107,"AJSS Saintes de Terre-de-Haut is a football club in Guadeloupe, based in Terre-de-Haut
They play in Guadeloupe's first division, the Guadeloupe Championnat National."
108,"Turbonilla ratusukunai is a species of sea snail, a marine gastropod mollusk in the family Pyramidellidae, the pyrams and their allies. It can be found in the Fiji Islands."
109,"The first USS Saginaw was a sidewheel sloop-of-war in the United States Navy during the American Civil War. The ship was in operation throughout the 1860s, but in 1870 wrecked on what is now known as Kure Atoll, a Pacific island. The event produced several books and one of the surviving boats from the ship is in a museum.
The wreck of the USS Saginaw was found in 2003."
110,"The Matterhorn (, German: [ˈmatɐˌhɔʁn]; Italian: Cervino, [tʃerˈviːno]; French: Cervin, [sɛʁvɛ̃]; Romansh: Matterhorn) is a mountain of the Alps, straddling the main watershed and border between Switzerland and Italy. It is a large, near-symmetric pyramidal peak in the extended Monte Rosa area of the Pennine Alps, whose summit is 4,478 metres (14,692 ft) high, making it one of the highest summits in the Alps and Europe. The four steep faces, rising above the surrounding glaciers, face the four compass points and are split by the Hörnli, Furggen, Leone/Lion, and Zmutt ridges. The mountain overlooks the Swiss town of Zermatt, in the canton of Valais, to the north-east and the Italian town of Breuil-Cervinia in the Aosta Valley to the south. Just east of the Matterhorn is Theodul Pass, the main passage between the two valleys on its north and south sides, which has been a trade route since the Roman Era.
The Matterhorn was studied by Horace-Bénédict de Saussure in the late eighteenth century, who was followed by other renowned naturalists and artists, such as John Ruskin, in the 19th century. It remained unclimbed after most of the other great Alpine peaks had been attained and became the subject of an international competition for the summit. The first ascent of the Matterhorn was in 1865 from Zermatt by a party led by Edward Whymper; it ended when four of its seven members fell to their deaths on the descent. This disaster, later portrayed in several films, marked the end of the golden age of alpinism. The north face was not climbed until 1931 and is among the three biggest north faces of the Alps, known as ""The Trilogy"". The west face, which is the highest of the Matterhorn's four faces, was completely climbed only in 1962. It is estimated that over 500 alpinists have died on the Matterhorn, making it one of the deadliest peaks in the world.The Matterhorn is mainly composed of gneisses (originally fragments of the African Plate before the Alpine orogeny) from the Dent Blanche nappe, lying over ophiolites and sedimentary rocks of the Penninic nappes. The mountain's current shape is the result of cirque erosion due to multiple glaciers diverging from the peak, such as the Matterhorn Glacier at the base of the north face. Sometimes referred to as the Mountain of Mountains (German: Berg der Berge), the Matterhorn has become an iconic emblem of the Alps in general. Since the end of the 19th century, when railways were built in the area, the mountain has attracted increasing numbers of visitors and climbers. Each year,  numerous mountaineers try to climb the Matterhorn from the Hörnli Hut via the northeast Hörnli ridge, the most popular route to the summit. Many trekkers also undertake the 10-day-long circuit around the mountain. The Matterhorn has been part of the Swiss Federal Inventory of Natural Monuments since 1983."
111,"The SNCF Class BB 61000 diesel locomotives were built by Vossloh to their G1206 design between 2002-2005 for the French state railways. Twenty three locomotives were built, numbered 61001–61023. As they are operated by the freight sector, the locomotives carry a '4' prefix (i.e. they are numbered 461001-461023).
These are the second locomotives to be numbered in this range, the first being the Class C 61000 (+ TC 61100)."
112,"Sir George Ripley (c. 1415–1490) was an English Augustinian canon, author, and alchemist."
113,"State Road is an unincorporated community in Champaign County, Illinois, United States. State Road is located along Illinois Route 49, south of Ogden and north of Homer."
114,Downpatrick was a constituency represented in the Irish House of Commons until 1800.
115,Exocyst complex component 6B is a protein that in humans is encoded by the EXOC6B gene.
116,The Roman Catholic Diocese of Texcoco (Latin: Dioecesis Texcocensis) (erected 30 April 1960) is a suffragan diocese of the Archdiocese of Tlalnepantla.
117,John Rolfe Gardiner (born 1936) is an American author of several novels and short stories.
118,"Jan Roodzant (born January 6, 1984 in Ede, Netherlands) is an Olympic-swimmer from Aruba. He swam for Aruba at the:

2008 Olympics,
2007 World Championships, and
2006 Central American and Caribbean Games."
119,"The Gold Coast Blaze were an Australian men's professional basketball team which competed in the National Basketball League (NBL). The Blaze competed in their inaugural season in 2007–08. The club was based on the Gold Coast and joined the Cairns Taipans, Townsville Crocodiles as the other two NBL clubs from Queensland. The Blaze played its home games at the Gold Coast Convention Centre (GCCEC) in Broadbeach, known as ""The Furnace"" within the NBL. The team was not related to the previous Gold Coast representative in the NBL, the Gold Coast Rollers."
120,"Norway competed at the 1998 Winter Paralympics in Nagano, Japan. 43 competitors from Norway won 40 medals including 18 gold, 9 silver and 13 bronze and finished 1st in the medal table."
121,"Samuel McGowan (October 19, 1819 – August 9, 1897) was an American military officer, lawyer, politician, judge, and a Brigadier general  in the Confederate army during the American Civil War. Born in South Carolina, he commanded a brigade in A.P. Hill's famous ""Light Division"" and was wounded several times. Ezra Warner's book, Generals in Gray, claims that ""McGowan's career and reputation were not excelled by any other brigade commander in the Army of Northern Virginia."" Following reconstruction, he was elected to the United States Congress but refused to take his seat, later serving as an Associate Justice of the South Carolina Supreme Court."
122,"Sibir (Russian: Сибирь) is a rural locality (a village) in Khokhlovskoye Rural Settlement, Permsky District, Perm Krai, Russia. The population was 16 as of 2010. There are 5 streets."
123,"Kundamundi Ka'Fiatu Hohepa ""Kunda"" Tom (born 14 July 1986) is a semi-professional Cook Islander footballer. He has been capped seven times by the Cook Islands, scoring once."
124,"Tondi is a subdistrict (Estonian: asum) in the district of Kristiine, Tallinn, the capital of Estonia. It has a population of 3,862 (As of 1 January 2015).The Tallinn–Paldiski railway passes Tondi on its eastern side. There's a station named ""Tondi"" on the Elron western route.
Audentes Sports Center is located in Tondi."
125,"Lycophotia molothina is a moth of the family Noctuidae. It is distributed throughout southwest- and central Europe. It is found wherever its food plants grow. It is traditionally thought of as a species of heathland.
This species shows a wingspan of 38–40 mm. The forewings are brown or grey, often tinged with red or blue and marked with a whitish streak at the front part. Orbicular and reniform stigma are grey and well defined. The hindwings are light grey. Lycophotia molothina flies from May to the end of July and is attracted to light and sugar.
The young larva is light green with five pale lines. Adult larvae change their colour into dark green, reddish or brown. They feed on Calluna vulgaris. The species overwinters as a larva."
126,"Doris Abeßer (15 March 1935 – 26 January 2016) was a German actress, radio personality and voice actor. She was born in Berlin and appeared in television and films from 1952 onwards. She was awarded an Erich Weinert Medal by Free German Youth in 1961. She married Günter Stahnka, a German film director in 1963."
127,Burtigny is a municipality in the district of Nyon in the canton of Vaud in Switzerland.
128,"A call screener or phone screener is a staff member who first answers the phone when audience members call into TV or radio broadcasts.
For call-in talk shows, screeners determine the air quality of the call (good connection or not) and if the caller's comments will further the topic or add a new point.  Their job is to put the best calls on the air and filter out the callers that don't have anything worthwhile to add to the conversation. They also try to engage callers by acting as a ""warm up"" act for the host. Call screeners also typically provide a summary of pertinent information for the host or hosts to provide context for on air interaction, such as the caller's name, age, gender, location and a precis of what they intend to talk about.During breaking news events, screeners are responsible for verifying the caller's identity, to ensure that correct information will be presented to the news anchor. A failure here can allow an embarrassing on-air prank call through. Richard Roeper blamed call screeners in 2003 for a phone prankster getting through to Dan Rather live on-air during the Space Shuttle Columbia disaster, by not checking the area code of the caller, who claimed to be an eyewitness in Texas. A New York Post article about phone pranksters describes call screeners as ""overburdened and generally young producers assigned to act as gate-keepers"", whose tools include ""simply to ask would-be callers for their phone number and make sure the area code matches up with where they say they're calling from."" An ABC News spokeswoman stated, ""With breaking news we make every effort to ensure the credibility of the witness before we put them on the air, but in live events, screening processes are not 100 percent effective."" An ""industry vet"" stated, ""At the very least you can catch 90 percent of them by getting their number and calling them back, generally they freak or give you a phony phone number."" Other techniques described ""include grilling the caller on little known facts about the situation or organization they claim to represent."""
129,"No. 141 Squadron was a squadron of the British Royal Air Force. It was first formed as part of the Royal Flying Corps in January 1918 as a fighter squadron, serving on home defence duties for the rest of the First World War., before being disbanded in 1920. The Second World War resulted in the squadron being reformed in 1939, serving as a night fighter and night intruder squadron until being disbanded in September 1945. it was reformed again in 1946, flying night fighters until 1958, while from 1959 until 1964 operated surface-to-air missiles."
130,"Zangla is a village in Zanskar tehsil of Kargil district, in the Indian union territory of Ladakh. It is located 262 km from Kargil city, the district headquarter, 32 km from Padum, the capital of Zanskar and presently the headquarter of Zanskar. The town is the nodal point on the popular Padum-Strongdey-Zangla-Karsha-Padum round trip. An old ruin Fort, Known as Zangla Fort is located on a hilltop right side to the village at a distance of one km belief of 11th century.
The Buddhist ruin Fort contains some impressive paintings."
131,"Star Trek Generations is a 1997 first-person shooter with adventure and strategy elements by MicroProse, based on Star Trek Generations (1994), the seventh film in the Star Trek film franchise. It includes voice-acting by actors Patrick Stewart and Malcolm McDowell, as well as footage from the film."
132,"The Tonic 23 is a French trailerable sailboat, that was designed by Philippe Harlé as a coastal cruiser and first built in 1985."
133,"The Reich Ministry of Armaments and War Production (German: Reichsministerium für Rüstung und Kriegsproduktion) was established on March 17, 1940, in Nazi Germany. Its official name before September 2, 1943, was the 'Reichsministerium für Bewaffnung und Munition' (transl. Reich Ministry of Armaments and Munitions).Its task was to improve the supply of the Wehrmacht with the necessary supplies of weapons and ammunition."
134,"Makal (transl. Daughter) is a 2022 Indian Malayalam-language family drama film directed by Sathyan Anthikkad and written by Iqbal Kuttippuram. The film stars Jayaram, Meera Jasmine, Devika Sanjay, Sreenivasan, Innocent, and Naslen K. Gafoor. The film is produced by Central Pictures, the company that previously produced Anthikad's  Kudumbapuranam, Kalikkalam and Oru Indian Pranayakatha. This marks Meera Jasmine’s comeback film after a six-year hiatus and also her 25th Malayalam film. The film also marks Jayaram's return to mollywood after a 3 year gap

"
135,Sean de Silva (born 17 January 1990) is a Trinidadian professional footballer who plays for Haukar in the Icelandic 1. deild karla and for the Trinidad and Tobago national team.
136,Nephelistis is a genus of moths of the family Noctuidae.
137,"Learning for Life (LFL) is a United States school and work-site based youth program that is an affiliate of the Boy Scouts of America.  It utilizes programs designed for schools and community-based organizations that are designed to prepare youth for the complexities of contemporary society and to enhance their self-confidence, motivation, and self-esteem, and for careers.Learning for Life is not considered a traditional scouting program; it does not use the Scout Promise, Scout Law, uniforms or insignia of traditional Scouting.  All Learning for Life programs are open to youth and adults without restriction based on gender, residence, religion, sexual orientation, or other considerations, other than minimum age requirements.  Exploring posts require background checks for adults over 18 years old as a condition of membership."
138,"Xenocs is a company providing instruments, software and related services for x-ray characterization of materials, in particular Small Angle X-ray Scattering (SAXS) and Wide Angle X-ray Scattering (WAXS).
Xenocs products are typically used by universities, research institutes and corporate labs in projects focused on research, development and process optimization of a wide range of new materials. Application segments range from nanomaterials, polymers, food, consumer care, energy to biomaterials and pharmaceuticals.
As of September 2020, the Xenocs group reported 75 employees."
139,"Little Black is an unincorporated community located in the town of Little Black, Taylor County, Wisconsin, United States. Little Black is located along Wisconsin Highway 13 and the Canadian National Railway 2.5 miles (4.0 km) south of Medford."
140,"A fire at Star City, an amusement park in Pasay, Metro Manila, Philippines, occurred at midnight on October 2, 2019. Initial investigation determined the cause as arson, citing traces of gasoline detected in the remains of the building. In December 2019, however, the cause was confirmed as an electrical fire which originated from a game booth located at Star City's ground floor. Although there were no reported casualties, 80 percent of the establishment was confirmed to have been damaged by the fire, the cost of which was estimated at ₱1 billion (US$19.3 million). The management of Star City announced that it would engage in a year-long rehabilitation effort before reopening the amusement park."
141,Dodanwala is a village in Sri Lanka. It is located within Central Province.
142,Gilbert Edward Wardley (23 April 1895 – 19 February 1971) was an Australian rules footballer who played with Essendon in the Victorian Football League (VFL).
143,"Garmsar railway station (Persian:ايستگاه راه آهن گرمسار, Istgah-e Rah Ahan-e Garmsar) is located in Garmsar, Semnan Province. The station is owned by IRI Railway."
144,Villemain is a commune in the Deux-Sèvres department in western France.
145,"Sidhi Lok Sabha constituency is one of the 29 Lok Sabha constituencies in Madhya Pradesh state in central India. This constituency covers the entire Sidhi and Singrauli districts and part of Shahdol district.

"
146,"Alessandro Caputo was Bishop of Mazara del Vallo  from 21 May 1731 – 24 Feb 1741.Born in Catania in 1672, Caputo was a master of theology and had a doctorate in theology (Catania, 1715). He had been Provincial of the Carmelite Province of Sicily, and Prior of the convent in Catania. He had been Titular Bishop of Thagaste (1728-1731), and was consecrated in Rome on 21 November 1728 by Pope Benedict XIII. He was transferred to the diocese of Mazara on 21 May 1731. He died on 24 February 1741."
147,"The Ujjainiya Parmār (also spelled as Ujjaini or simply Ujjainiya) are a Rajput clan that inhabits the state of Bihar.They are considered to have played a prominent role in the political history of medieval Bihar with many of their strongholds being established in the erstwhile Shahabad district of West Bihar, the most notable of which are Dumraon Raj and Jagdispur. 
Their oral tradition is contained within a 19th century book called the Tawarikh-i-Ujjainiya. According to this, they trace their ancestry to Ujjain, Madhya Pradesh where the Parmar Rajput kings ruled. After settling in Bihar, the locals started to refer to them as Ujjainiya. They call themselves Ujjainiya Parmars."
148,"A pelvic kidney, also known as an ectopic kidney, is a normal kidney located in the pelvis, instead of the abdomen. This occurs when a kidney does not ascend from its original location in the pelvis to its final location during prenatal development. They usually present no symptoms, but can increase risk of certain illnesses and healthcare problems."
149,"La Borbolla is one of 28 parishes (administrative divisions) in Llanes, a municipality within the province and autonomous community of Asturias, in northern Spain.  It has a population of 155 inhabitants, and its parish church is dedicated to St. Sebastian."
150,Mary Rosalind Hursthouse (born 10 November 1943) is a British-born New Zealand moral philosopher noted for her work on virtue ethics. Hursthouse is Professor Emerita of Philosophy at the University of Auckland.
151,"The Recherche en Prévision Numérique center (RPN) is responsible for the research and development of the modelling component of the Numerical Weather Prediction (NWP) System for the Canadian Meteorological Centre (CMC) and the Regional Meteorological Centers of the Meteorological Service of Canada (MSC), Environment Canada (EC)."
152,"Antonio Lotti (5 January 1667 – 5 January 1740) was an Italian composer of the Baroque era.

"
153,Marquis Ferdinando Bartolommei (1821 - 15 June 1869) was an Italian revolutionist and statesman who played an important part in the political events of Tuscany from 1848 to 1860.
154,"Cynthia Ligeard (née Parage; born 15 June 1962) is a New Caledonian anti-independence politician. She was the second woman to serve as President of the Government of New Caledonia, a position she held from 5 June 2014 until 1 April 2015. (Marie-Noëlle Thémereau was the first female President of New Caledonia from 2004 to 2007)."
155,"The 2008 Wells earthquake occurred at 07:16:02 on February 21, 2008 just northeast of the town of Wells, Nevada, causing moderate damage, mainly to older brick buildings.  The quake was centered on one of the faults of the Independence Valley fault system, about nine kilometers (5.6 miles) beneath the surface and had no known near-surface offset.

"
156,"""On Hold"" is a song by English indie pop band the xx. It was released on 10 November 2016 as the lead single from their third studio album, I See You (2017). The song peaked at number 34 on the UK Singles Chart, and became one of their highest-charting singles internationally."
157,"Valley Stream Central High School is a public senior high school (grades 10–12) in the village of Valley Stream, New York on the South Shore of Nassau County. It is part of the Valley Stream Central High School District. Dr. Joseph Pompillo has been the Principal since 2001. According to U.S. News & World Report Central is the top performing High School in the District with the ranking of #103 in New York State compared to North's #138 and South's #131. Central has a graduation rate of above 95% and was recently recognized by New York State for having one of the highest graduation rates among men of color.

"
158,USS Rawlins (APA-226) was a Haskell-class attack transport in service with the United States Navy from 1944 to 1946. She was scrapped in 1987.
159,"American special forces mounted an attack on an Oruzgan police station in January 2002.
On January 23, 2002, American special forces attacked a District police station, and a nearby school that was the temporary home to a delegation of the official Afghan government disarmament commission.
Numerous casualties were inflicted during the attack.
The Pentagon acknowledged killing 15 Afghan officials.  Afghan sources said 21 civilians were killed.
Two senior officials from the disarmament commission were among the dead.
The Pentagon eventually acknowledged the attacks were mistakes—blaming faulty intelligence.
The Pentagon acknowledged that the men were neither Taliban or al Qaeda, and blamed the attack on bad intelligence.
27 Afghan officials were held by the Americans for over two weeks, in conditions they described as brutal, in the Kandahar detention facility.
Abdul Rauf, the Chief of Police, said his men surrendered without a fight.
He described being beaten into unconsciousness, after his surrender, only to find himself lying next to the dead body of one of his men when he awoke.
Carlotta Gall, of the New York Times, interviewed three other police officers, Allah Noor,
Ziauddin, and Aktar Muhammad, who also described brutal beatings while in US custody.
Ziauddin said he was beaten so hard it had knocked out one of his teeth.
Abdul Rauf told New York Times reporter Carlotta Gall that he would never forgive the Americans for their brutality."
160,"The Foyer housing model is a method of transitional housing for youth that evolved from temporary housing for laborers in Europe.  After World War II, foyers were used to provide accommodation for a movement of people from rural France to cities seeking work.  The term ""foyer"" means hearth in French.  They later developed to house migrant workers, primarily from Algeria, serving as a path to independent labor and accommodation.The foyer model has evolved into a philosophy and housing program for supporting at risk young people focused on a supportive relationship between caregivers and residents.  Implementations typically provide partially or fully subsidized housing and educational, vocational, or work opportunities, as well as counselling services.In the late 1990s, youth homelessness and unemployment became a rising problem, and United Kingdom policymakers led by Sheila McKechnie proposed foyers as a combined solution, in an attempt to end the ""no job no house no house no job"" cycle.  Promising success in the United Kingdom sparked interest in Australia and the United States, leading to meta-studies of UK research and funding from the Australian federal government and philanthropic organizations in the US."
161,"Dakshinkhan Adarsha (Bengali: দক্ষিণখান আদর্শ, romanized: Dokkhinkhan Adorsho) is a union parishad of Dhaka Metropolitan North, Dhaka District, Dhaka, Bangladesh. It is bounded by Gazipur Sadar Upazila on the north, Khilkhet Thana on the south, Uttarkhan Thana on the east and uttara and Shahjalal International Airport on the west. Population 5,29,500 (Approximate). Average literacy 68.87%; male 73.57%, female 63.06%.

"
162,"Salmond & Darling: The Debate is a Scottish television debate that was first broadcast on STV on 5 August 2014. The two-hour broadcast marked the first face-to-face debate between First Minister Alex Salmond and Alistair Darling ahead of the forthcoming Scottish independence referendum, in front of a studio audience of 350 people.The debate, moderated by Bernard Ponsonby, saw both politicians make opening statements and cross-examine each other before taking questions from the audience. At the end of the clash, they were both given the chance to make a closing speech."
163,"The 2020 Southern Conference Baseball Tournament was scheduled to be held from May 19 through May 24 at Fluor Field at the West End in Greenville, South Carolina.  The annual event was to determine the conference champion of the Division I Southern Conference in college baseball.  The tournament winner was to earn the league's bid to the 2020 NCAA Division I Baseball Tournament.The tournament was originally held from 1950 to 1953, when the Southern Conference was a large conference composed of several small schools and several large schools, the latter of which would form the Atlantic Coast Conference after the 1953 season.  The event was re-established in 1984 and has been held every year since.  Western Carolina has claimed ten championships, the most of any school, with The Citadel close behind at eight tournament wins.  Furman, Samford, and defending champion Mercer are the only other current schools with multiple championships, having each won two.  East Tennessee State and VMI have never won a title, although they both returned to the conference in 2015 after over ten years in other conferences.
The tournament was scheduled to be played in Greenville, which has hosted seven of the past eleven events. On March 12, 2020, the NCAA cancelled all winter and spring sports competitions due to the coronavirus pandemic, thus cancelling the tournament.

"
164,"Winfried Mahraun (17 July 1907 – 10 September 1973) was a German diver who competed in the 1936 Summer Olympics. He was born in Gumbinnen (near Königstein) and died in Sindelfingen, Stuttgart. In 1936 he finished seventh in the 3 metre springboard event."
165,Stuart H. Yuspa is an American physician-biologist and an Elected Fellow of American Association for the Advancement of Science.
166,"The nested neutron spectrometer (NNS) is a tool used for neutron spectroscopy. The NNS is used to measure the energy spectrum of neutrons in a neutron field. This type of detector is used in both research facilities (for characterization of neutron fields) and workplaces, where neutron radiation maybe encountered, for radiation protection purposes. Due to the difficulty associated with the detection of neutrons, the NNS is one of the few pieces of equipment capable of accurately determining the characteristics of a neutron field."
167,"Niban Rock (68°14′S 42°28′E) is a rock which protrudes into the sea 8 nautical miles (15 km) southwest of Cape Hinode, on the coast of Queen Maud Land. Mapped from surveys and air photos by Japanese Antarctic Research Expedition (JARE), 1957–62, and named Niban-iwa (number two rock).
 This article incorporates public domain material from ""Niban Rock"". Geographic Names Information System. United States Geological Survey."
168,L'Enfance volée (Stolen Childhood) is a 1994 Moroccan film by Hakim Noury. It is one of Noury's most popular and influential films. The film is set in Casablanca and tells the story of the abuse of a young servant girl.
169,"Enerweena is a rural cadastral parish in Narromine County NSW, located at 32°26′54″S 147°58′04″  approximately 370km north west from Sydney, about 15 km north east of Albert and about 40km south west of Trangie. It is within the Narromine Council area at 32°37′54″S 148°12′04″E. It is in Narromine Shire."
170,"Euodia Samson (born 1970), is a South African actress and TV personality. She is best known for the roles in the television serials such as; SOS, Arendsvlei, Big Okes, Madam & Eve and Fishy Feshuns."
171,"Pittsburgh Indians were a mid-twentieth-century American soccer club based in Pittsburgh, Pennsylvania.  It began as Pittsburgh Stasser before becoming the Indians in 1947."
172,"Anne Isabella, Lady Ritchie (9 June 1837 – 26 February 1919), eldest daughter of William Makepeace Thackeray, was an English writer, whose several novels were appreciated in their time and made her a central figure on the late Victorian literary scene. She is noted especially as the custodian of her father's literary legacy, and for short fiction that places fairy tale narratives in a Victorian milieu. Her 1885 novel Mrs. Dymond introduced into English the proverb, ""Give a man a fish and you feed him for a day; teach a man to fish and you feed him for life."""
173,Oliver Carlson (1899–1991) was founder of the Young Communist League of America among other Communist organizations and then served as an anti-communist government witness who specialized in Communist infiltration in Hollywood.
174,"Najneh-ye Sofla (Persian: نجنه سفلي, also Romanized as Najneh-ye Soflá) is a village in Nameh Shir Rural District, Namshir District, Baneh County, Kurdistan Province, Iran. At the 2006 census, its population was 388, in 78 families. The village is populated by Kurds."
175,"The 1982 Northern Illinois Huskies football team represented Northern Illinois University as a member of the Mid-American Conference (MAC) during 1982 NCAA Division I-A football season. Led by third-year head coach Bill Mallory, the Huskies compiled an overall record of 5–5 with a mark of 5–4 in conference play, tying for fifth place in the MAC. Northern Illinois played home games at Huskie Stadium in DeKalb, Illinois."
176,"Wychavon District Council elections are held every four years. Wychavon District Council is the local authority for the non-metropolitan district of Wychavon in Worcestershire, England. Since the last boundary changes in 2003, 45 councillors have been elected from 32 wards."
177,"The 1980–81 Yugoslav Ice Hockey League season was the 39th season of the Yugoslav Ice Hockey League, the top level of ice hockey in Yugoslavia. Eight teams participated in the league, and Jesenice have won the championship."
178,"Deh-e Bozorg (Persian: ده بزرگ) is a village in Jelogir Rural District, in the Central District of Pol-e Dokhtar County, Lorestan Province, Iran. At the 2006 census, its population was 94, in 17 families."
179,"Shun Nishime (西銘 駿, Nishime Shun, born February 20, 1998, in Gushikawa, Okinawa Prefecture, Japan) is a Japanese actor and model. His nickname is ""Shun-Shun"" (しゅんしゅん). He won the Grand Prix at the 27th Junon Super Boy Contest."
180,"Nożewo [nɔˈʐɛvɔ] is a village in the administrative district of Gmina Olszewo-Borki, within Ostrołęka County, Masovian Voivodeship, in east-central Poland. It lies approximately 6 kilometres (4 mi) south-west of Ostrołęka and 97 km (60 mi) north of Warsaw.
The village has a population of 200."
181,Gaurena is a genus of moths belonging to the subfamily Thyatirinae of the Drepanidae. It was erected by Francis Walker in 1865.
182,Alfred Mathieu Giard (8 August 1846 – 8 August 1908) was a French zoologist born in Valenciennes.
183,"The Journal of Aerospace Engineering is a peer-reviewed scientific journal published by the American Society of Civil Engineers and combines civil engineering with aerospace technology (but also incorporates other elements of civil engineering) to develop structures for space and extreme conditions. Topics of interest include aerodynamics, computational fluid dynamics, wind tunnel testing of buildings and structures, aerospace structures and materials, and more."
184,"The Miss New Mexico competition is the pageant that selects the representative for the state of New Mexico in the Miss America pageant. 
Kaitlin Kerl of Albuquerque was crowned Miss New Mexico 2022 on June 11, 2022 at the Flickinger Center of Performing Arts in Alamogordo, New Mexico. She was scheduled to compete for the title of Miss America 2022 at the Mohegan Sun in Uncasville, Connecticut in December 2021."
185,"Adesola Kazeem Adeduntan (born 7 May 1969) is a Nigerian business executive. He is the Managing Director/Chief Executive Officer of First Bank of Nigeria Limited and Subsidiaries (comprising FBN UK, FBN Congo DR, FBN Ghana, FBN Senegal, FBN Guinea, FBN Gambia, FBN Sierra Leone, FBN Mortgages, and First Pension Custodian) a position to which he was appointed from his former role as Group Chief Financial Officer and an Executive Director with the bank. He began his career with Afribank Nigeria Plc. in 1994, after which he worked with KPMG Professional Services, Citibank Nigeria, and the Africa Finance Corporation (AFC) before joining FirstBank in July 2014.
Adesola, a member of the Bretton Woods Committee, currently sits on the board of the Nigerian Economic Summit Group, and as a non-executive director on the boards of the Nigeria Interbank Settlement System Ltd. (NIBSS), Africa Finance Corporation (AFC), FBN Bank U.K. Ltd., Universal Payments Plc., and Shared Agent Network Expansion Facilities Ltd. (SANEF).
Adesola is also a Fellow of the Institute of Chartered Accountants of Nigeria."
186,"The Cultural Quarter of the town Northampton, England, is a local council initiative to promote the area of the town centre which contains the theatre and museum. Part of it was referred to as Derngate, the name of a gate in the old town walls.
The re-branding was launched in early 2013. It encompasses the Northampton Museum, theatre complex Royal & Derngate, a historic house 78 Derngate, an art gallery NN Contemporary Art and a cinema, the Errol Flynn Filmhouse. Bars, restaurants, pubs, hair salons and fashion shops, housing and offices are included. Northampton High School for Girls was once located in the zone. Its site has since been sold for housing."
187,Alisina is a Cambrian genus of Obolellid brachiopod from which soft tissue (including pedicle) is known.
188,"Dan Atwijukire Kimosho (born September 11, 1984) is a Ugandan politician and a member of the Ugandan parliament representing Kazo County on the ticket of National Resistance Movement (NRM) party."
189,Richard Albert (born 26 July 1983 as Richard Albert Bretschneider) is a German composer and songwriter.
190,"Patrice Killoffer, better known simply as Killoffer (born 16 June 1966), is a writer and artist of comics. He was co-founder of the independent comics publisher L'Association in 1990, and has been a part of Oubapo since its creation in 1992.

"
191,"Churchtown is an unincorporated community and census-designated place (CDP) in Caernarvon Township, Lancaster County, Pennsylvania, United States, along Pennsylvania Route 23. The population was 470 as of the 2010 census.

"
192,"The Douglas Entrance (also known as La Puerta del Sol) is a historic site in Coral Gables, Florida. It is located at the junction of Douglas Road and Tamiami Trail (US 41). The architect was Phineas Paist and it was completed in 1924. On September 22, 1972, it is listed on the U.S. National Register of Historic Places.
The Douglas Entrance design also involved Denman Fink and Walter De Garmo.

"
193,"Mayo is a census-designated place (CDP) in Spartanburg County, South Carolina, United States. The population was 1,592 at the 2010 census."
